Tag,Block,IOType,Hardware,Range,Description,Logic,Purpose,Alarms,Interlocks
TNH_SPEED_1,Turbine Control,Analog Input,TANU Slot 3 Ch 1,0-6000 RPM,Primary turbine speed from magnetic pickup sensor,Frequency to RPM conversion with 10Hz low-pass filter and 3-sensor voting logic,Provides real-time speed feedback for closed-loop control and overspeed protection,High: 3650 RPM; Overspeed Trip: 3750 RPM,Required for start permissive and synchronization
TNH_SPEED_2,Turbine Control,Analog Input,TANU Slot 3 Ch 2,0-6000 RPM,Redundant turbine speed sensor 2,Frequency to RPM conversion with voting,Backup speed measurement for triple redundancy,High: 3650 RPM; Deviation > 50 RPM from median,Used in voting logic with sensors 1 and 3
TNH_SPEED_3,Turbine Control,Analog Input,TANU Slot 3 Ch 3,0-6000 RPM,Redundant turbine speed sensor 3,Frequency to RPM conversion with voting,Backup speed measurement for triple redundancy,High: 3650 RPM; Deviation > 50 RPM from median,Used in voting logic with sensors 1 and 2
SPEED_SETPOINT,Turbine Control,Analog Output,Internal,2900-3100 RPM,Speed reference from load controller,Ramp rate limited to 100 RPM/sec with droop compensation,Target speed for governor control,None - internal signal,Must be within synchronization range for breaker close
SPEED_ERROR,Turbine Control,Calculated,Internal,-300 to +300 RPM,Difference between setpoint and actual speed,SPEED_ERROR = SPEED_SETPOINT - TNH_SPEED_MEDIAN,Input to PID speed controller,High deviation: > 100 RPM for 5 sec,Triggers load rejection if excessive
FUEL_VALVE_CMD,Fuel Control,Analog Output,TRLY Slot 5 Ch 1,0-100%,Fuel valve position command to servo,PID controller output with anti-windup and rate limiting (5%/sec),Controls fuel flow to maintain speed setpoint,None - controlled output,Limited by fuel pressure and temperature permissives
FUEL_VALVE_POS,Fuel Control,Analog Input,TRLY Slot 5 Ch 2,0-100%,Fuel valve position feedback from LVDT,LVDT signal conditioning and linearization,Verifies valve responds to commands,Deviation > 5% from command for 2 sec,Used for valve stuck detection
FUEL_PRESSURE,Fuel Control,Analog Input,TRLY Slot 4 Ch 2,0-500 PSI,Fuel supply pressure from transmitter,4-20mA scaling with square root extraction for flow,Monitors fuel system health,Low: 250 PSI; High: 450 PSI; Trip: < 200 PSI,Must be > 250 PSI for fuel valve permissive
FUEL_TEMP,Fuel Control,Analog Input,TRLY Slot 4 Ch 3,-20 to 80°C,Fuel temperature from RTD,RTD linearization with cold junction compensation,Ensures fuel viscosity in acceptable range,Low: 5°C; High: 60°C,Must be 5-60°C for fuel valve permissive
FSV_MAIN_SOL,Fuel Control,Digital Output,TRPD Slot 5 Ch 8,24VDC,Main fuel shutoff solenoid valve,Interlock logic: NOT(ANY_TRIP) AND PERMISSIVES_OK,Emergency fuel shutoff with fail-safe de-energize,Valve stuck; Valve leak; Solenoid fault,Requires all permissives and no trips to energize
FSV_PILOT_SOL,Fuel Control,Digital Output,TRPD Slot 5 Ch 9,24VDC,Pilot fuel solenoid valve,Energizes 5 sec before main fuel for ignition,Provides pilot fuel for combustion initiation,Valve stuck; Solenoid fault,Requires purge complete and igniter active
FSV_POSITION_FB,Fuel Control,Digital Input,TRPD Slot 5 Ch 10,24VDC,Fuel valve position limit switch,Debounced input with 100ms delay,Confirms valve physical position,Feedback mismatch with command,Used to detect stuck valve conditions
EXHAUST_TEMP_1,Turbine Control,Analog Input,TRLY Slot 2 Ch 4,0-700°C,Exhaust temperature thermocouple 1,Type K thermocouple with cold junction compensation and 12-point averaging,Monitors turbine exhaust for overtemp protection,High: 620°C; Trip: 650°C; Rate: 50°C/min,Trips fuel valve if > 650°C
EXHAUST_TEMP_2,Turbine Control,Analog Input,TRLY Slot 2 Ch 5,0-700°C,Exhaust temperature thermocouple 2,Type K thermocouple with averaging,Redundant exhaust temperature,High: 620°C; Trip: 650°C,Used in average with TC 1 and 3
EXHAUST_TEMP_3,Turbine Control,Analog Input,TRLY Slot 2 Ch 6,0-700°C,Exhaust temperature thermocouple 3,Type K thermocouple with averaging,Redundant exhaust temperature,High: 620°C; Trip: 650°C,Used in average with TC 1 and 2
EXHAUST_TEMP_AVG,Turbine Control,Calculated,Internal,0-700°C,Average of three exhaust thermocouples,AVG = (TC1 + TC2 + TC3) / 3 with bad sensor rejection,Primary exhaust temperature for control and protection,High: 620°C; Trip: 650°C,Trips turbine if > 650°C for 2 sec
COMPRESSOR_DISCH_PRESS,Turbine Control,Analog Input,TRLY Slot 2 Ch 1,0-300 PSIG,Compressor discharge pressure,4-20mA scaling with temperature compensation,Monitors compressor performance,High: 280 PSIG; Low: 50 PSIG,Used for surge detection and control
COMPRESSOR_INLET_TEMP,Turbine Control,Analog Input,TRLY Slot 2 Ch 2,-20 to 50°C,Compressor inlet air temperature,RTD with ambient correction,Compensates power output calculations,High: 45°C,Used for ISO power correction
VIBRATION_X_BEARING_1,Protection,Analog Input,TRLY Slot 6 Ch 1,0-25 mm/s,Bearing 1 vibration X-axis from accelerometer,RMS calculation over 1 sec with frequency analysis,Detects bearing wear and imbalance,Alert: 10 mm/s; Alarm: 15 mm/s; Trip: 20 mm/s,Trips turbine if > 20 mm/s
VIBRATION_Y_BEARING_1,Protection,Analog Input,TRLY Slot 6 Ch 2,0-25 mm/s,Bearing 1 vibration Y-axis,RMS calculation with frequency analysis,Detects bearing wear and imbalance,Alert: 10 mm/s; Alarm: 15 mm/s; Trip: 20 mm/s,Trips turbine if > 20 mm/s
VIBRATION_X_BEARING_2,Protection,Analog Input,TRLY Slot 6 Ch 3,0-25 mm/s,Bearing 2 vibration X-axis,RMS calculation with frequency analysis,Detects bearing wear and imbalance,Alert: 10 mm/s; Alarm: 15 mm/s; Trip: 20 mm/s,Trips turbine if > 20 mm/s
VIBRATION_Y_BEARING_2,Protection,Analog Input,TRLY Slot 6 Ch 4,0-25 mm/s,Bearing 2 vibration Y-axis,RMS calculation with frequency analysis,Detects bearing wear and imbalance,Alert: 10 mm/s; Alarm: 15 mm/s; Trip: 20 mm/s,Trips turbine if > 20 mm/s
LUBE_OIL_PRESS,Protection,Analog Input,TRLY Slot 6 Ch 5,0-100 PSI,Lube oil header pressure,4-20mA scaling with temperature compensation,Protects bearings from oil starvation,Low: 25 PSI; Trip: 15 PSI,Trips turbine if < 15 PSI for 2 sec
LUBE_OIL_TEMP,Protection,Analog Input,TRLY Slot 6 Ch 6,0-120°C,Lube oil supply temperature,RTD linearization,Monitors oil cooling system,High: 70°C; Trip: 80°C,Trips turbine if > 80°C
BEARING_1_TEMP,Protection,Analog Input,TRLY Slot 6 Ch 7,0-150°C,Bearing 1 metal temperature,RTD embedded in bearing,Detects bearing overheating,High: 100°C; Trip: 120°C,Trips turbine if > 120°C
BEARING_2_TEMP,Protection,Analog Input,TRLY Slot 6 Ch 8,0-150°C,Bearing 2 metal temperature,RTD embedded in bearing,Detects bearing overheating,High: 100°C; Trip: 120°C,Trips turbine if > 120°C
START_BUTTON,Sequencing,Digital Input,TRPD Slot 1 Ch 1,24VDC,Operator start pushbutton,Debounced input with rising edge detection,Initiates turbine start sequence,None,Requires all start permissives to be true
STOP_BUTTON,Sequencing,Digital Input,TRPD Slot 1 Ch 2,24VDC,Operator stop pushbutton,Debounced input with rising edge detection,Initiates normal shutdown sequence,None,Overrides start command
EMERGENCY_STOP,Protection,Digital Input,TRPD Slot 1 Ch 3,24VDC,Emergency stop mushroom button,Immediate trip with no debounce,Emergency turbine shutdown,None,Trips all fuel valves immediately
RESET_BUTTON,Sequencing,Digital Input,TRPD Slot 1 Ch 4,24VDC,Alarm and trip reset button,Debounced input with edge detection,Resets latched alarms and trips,None,Only active when turbine stopped
LOCAL_REMOTE_SEL,Sequencing,Digital Input,TRPD Slot 1 Ch 5,24VDC,Local/Remote selector switch,Switch position with debounce,Selects control mode,None,Determines if local panel or DCS controls turbine
FLAME_DETECTOR,Fuel Control,Digital Input,TRPD Slot 4 Ch 6,24VDC,UV flame detector,Flame presence with 2 sec confirmation delay,Confirms combustion for fuel permissive,Flame failure after 5 sec of fuel flow,Required for main fuel valve permissive
IGNITER_ENABLE,Fuel Control,Digital Output,TRPD Slot 4 Ch 7,24VDC,Ignition system enable relay,Timed pulse: 10 sec during start sequence,Provides ignition energy during startup,Igniter fault,Active only during start sequence
PURGE_TIMER_DONE,Sequencing,Digital Output,Internal,Boolean,Purge cycle completion flag,Timer: 60 sec with airflow confirmation,Indicates pre-start purge complete,None,Required for fuel valve permissive
START_SEQUENCE_ACTIVE,Sequencing,Digital Output,Internal,Boolean,Start sequence in progress flag,State machine: IDLE → PURGE → IGNITION → ACCELERATION → RUN,Indicates turbine starting,None,Enables various permissives during startup
TURBINE_RUNNING,Sequencing,Digital Output,Internal,Boolean,Turbine at operating speed flag,TRUE when speed > 2900 RPM and stable,Indicates normal operation,None,Enables load control and synchronization
CRANK_MOTOR_RUN,Sequencing,Digital Output,TRPD Slot 2 Ch 1,24VDC,Starting motor contactor,Energized during crank phase until 1500 RPM,Rotates turbine for starting,Motor overload; Overcurrent,De-energizes at 1500 RPM or after 60 sec
CRANK_MOTOR_SPEED_OK,Sequencing,Digital Input,TRPD Slot 2 Ch 2,24VDC,Crank motor at speed feedback,Speed switch closes at 1200 RPM,Confirms motor bringing turbine to light-off speed,None,Required before fuel valve opening
GENERATOR_BREAKER_CLOSE,Electrical,Digital Output,TRPD Slot 7 Ch 1,125VDC,Generator circuit breaker close coil,Synchronization logic with slip frequency < 0.1 Hz and voltage match,Connects generator to grid,Breaker failure; Out of sync,Requires synchronization permissives
GENERATOR_BREAKER_OPEN,Electrical,Digital Output,TRPD Slot 7 Ch 2,125VDC,Generator circuit breaker trip coil,Immediate trip on any electrical fault,Disconnects generator from grid,None,Activated on reverse power or fault
BREAKER_52A_CLOSED,Electrical,Digital Input,TRPD Slot 7 Ch 3,125VDC,Breaker auxiliary contact 52a,Contact closure indicates breaker closed,Confirms breaker position,Breaker position mismatch,Used for breaker status indication
BREAKER_52B_OPEN,Electrical,Digital Input,TRPD Slot 7 Ch 4,125VDC,Breaker auxiliary contact 52b,Contact closure indicates breaker open,Confirms breaker position,Breaker position mismatch,Used for breaker status indication
SYNC_VOLTAGE_OK,Electrical,Digital Input,TRPD Slot 7 Ch 5,125VDC,Synchronizer voltage match relay,Relay closes when voltage within 5%,Indicates voltage match for synchronization,None,Required for breaker close permissive
SYNC_FREQUENCY_OK,Electrical,Digital Input,TRPD Slot 7 Ch 6,125VDC,Synchronizer frequency match relay,Relay closes when slip < 0.1 Hz,Indicates frequency match for synchronization,None,Required for breaker close permissive
SYNC_PHASE_OK,Electrical,Digital Input,TRPD Slot 7 Ch 7,125VDC,Synchronizer phase match relay,Relay closes when phase angle < 10°,Indicates phase match for synchronization,None,Required for breaker close permissive
GENERATOR_VOLTAGE,Electrical,Analog Input,TRLY Slot 8 Ch 1,0-15 kV,Generator terminal voltage from PT,Potential transformer scaling 13800:120V,Monitors generator output voltage,Low: 12.5 kV; High: 14.5 kV,Used for voltage regulator control
GENERATOR_CURRENT,Electrical,Analog Input,TRLY Slot 8 Ch 2,0-1000 A,Generator output current from CT,Current transformer scaling 800:5A,Monitors generator loading,High: 850 A; Overload: 900 A,Used for load control and protection
GENERATOR_POWER,Electrical,Calculated,Internal,0-10 MW,Generator real power output,P = V × I × PF × sqrt(3) / 1000,Indicates generator loading,High: 9.5 MW; Overload: 10 MW,Used for load control
GENERATOR_FREQUENCY,Electrical,Analog Input,TRLY Slot 8 Ch 3,55-65 Hz,Generator output frequency,Frequency measurement from voltage signal,Monitors speed/frequency,Low: 59.5 Hz; High: 60.5 Hz,Used for synchronization and droop control
LOAD_SETPOINT,Electrical,Analog Output,Internal,0-10 MW,Load reference from operator or AGC,Ramp rate limited to 1 MW/min,Target load for load controller,None,Adjusts speed setpoint via droop
INLET_GUIDE_VANES,Turbine Control,Analog Output,TRLY Slot 3 Ch 1,0-100%,IGV position command to actuator,Position control with rate limiting (10%/sec),Controls compressor airflow and surge margin,None,Coordinated with fuel valve for emissions
IGV_POSITION_FB,Turbine Control,Analog Input,TRLY Slot 3 Ch 2,0-100%,IGV position feedback from LVDT,LVDT signal conditioning,Verifies IGV responds to commands,Deviation > 5% from command,Used for IGV stuck detection
AMBIENT_TEMP,Turbine Control,Analog Input,TRLY Slot 2 Ch 3,-20 to 50°C,Ambient air temperature,RTD with solar radiation shield,Compensates power output for ambient conditions,None,Used for ISO power correction
AMBIENT_PRESSURE,Turbine Control,Analog Input,TRLY Slot 2 Ch 7,900-1100 mbar,Barometric pressure,Absolute pressure transmitter,Compensates power output for altitude,None,Used for ISO power correction
COOLING_WATER_TEMP,Auxiliary,Analog Input,TRLY Slot 9 Ch 1,0-100°C,Cooling water supply temperature,RTD in cooling water line,Monitors cooling system,High: 45°C,Alarm only - no trip
COOLING_WATER_FLOW,Auxiliary,Digital Input,TRPD Slot 9 Ch 1,24VDC,Cooling water flow switch,Flow switch with 5 sec delay,Confirms cooling water flowing,Flow loss,Required for lube oil cooler operation
HYDRAULIC_PRESSURE,Auxiliary,Analog Input,TRLY Slot 9 Ch 2,0-3000 PSI,Hydraulic system pressure,4-20mA scaling,Monitors hydraulic system for valve actuation,Low: 2000 PSI; Trip: 1500 PSI,Required for fuel valve operation
FIRE_DETECTION,Protection,Digital Input,TRPD Slot 10 Ch 1,24VDC,Fire detection system alarm,UV/IR flame detector with voting,Detects fire in turbine enclosure,None,Trips turbine and activates fire suppression
GAS_LEAK_DETECTION,Protection,Digital Input,TRPD Slot 10 Ch 2,24VDC,Combustible gas detector alarm,LEL sensor with 20% LEL setpoint,Detects fuel gas leaks,None,Trips fuel valves and activates ventilation
ENCLOSURE_TEMP,Protection,Analog Input,TRLY Slot 10 Ch 1,0-100°C,Turbine enclosure temperature,RTD in enclosure,Monitors ventilation system,High: 50°C,Alarm only
ENCLOSURE_VENT_FAN,Auxiliary,Digital Output,TRPD Slot 10 Ch 3,24VDC,Enclosure ventilation fan contactor,Runs continuously when turbine operating,Provides cooling and ventilation,Fan failure,Required for turbine operation
